TIME	INTERVALO	Nivel Tanque 2
0.000	0.000	-7.934054
0.000	1.000	-7.916914
1.000	1.000	-7.916914
2.000	1.000	-7.934972
3.000	1.000	-7.934054
4.000	1.000	-7.928341
5.000	1.000	-7.928341
6.000	1.000	-7.923545
7.000	1.000	-7.956225
8.000	1.000	-7.938173
9.000	1.000	-7.938173
10.000	1.000	-7.938173
11.000	1.000	-7.954166
12.000	1.000	-7.932689
13.000	1.000	-7.932689
14.000	1.000	-7.903433
15.000	1.000	-7.894972
16.000	1.000	-7.922627
17.000	1.000	-7.922627
18.000	1.000	-7.903662
19.000	1.000	-7.923545
20.000	1.000	-7.903433
21.000	1.000	-7.903433
22.000	1.000	-7.903433
23.000	1.000	-7.903662
24.000	1.000	-7.923545
25.000	1.000	-7.922627
26.000	1.000	-7.922627
27.000	1.000	-7.932689
28.000	1.000	-7.915314
29.000	1.000	-7.923545
30.000	1.000	-7.923545
31.000	1.000	-7.923545
32.000	1.000	-7.912577
33.000	1.000	-7.912577
34.000	1.000	-7.912577
35.000	1.000	-7.923545
36.000	1.000	-7.902750
37.000	1.000	-7.923545
38.000	1.000	-7.923545
39.000	1.000	-7.912577
40.000	1.000	-7.912577
41.000	1.000	-7.923545
42.000	1.000	-7.923545
43.000	1.000	-7.915314
44.000	1.000	-7.902750
45.000	1.000	-7.902750
46.000	1.000	-7.902750
47.000	1.000	-7.923545
48.000	1.000	-7.912577
49.000	1.000	-7.905946
50.000	1.000	-7.905946
51.000	1.000	-7.913724
52.000	1.000	-7.912577
53.000	1.000	-7.923545
54.000	1.000	-7.923545
55.000	1.000	-7.913724
56.000	1.000	-7.913724
57.000	1.000	-7.890182
58.000	1.000	-7.926511
59.000	1.000	-7.926511
60.000	1.000	-7.915314
61.000	1.000	-7.915314
62.000	1.000	-7.902750
63.000	1.000	-7.902750
64.000	1.000	-7.903204
65.000	1.000	-7.926057
66.000	1.000	-7.902750
67.000	1.000	-7.902750
68.000	1.000	-7.902750
69.000	1.000	-7.923545
70.000	1.000	-7.894972
71.000	1.000	-7.894972
72.000	1.000	-7.913724
73.000	1.000	-7.912577
74.000	1.000	-7.891782
75.000	1.000	-7.891782
76.000	1.000	-7.903204
77.000	1.000	-7.913724
78.000	1.000	-7.915314
79.000	1.000	-7.915314
80.000	1.000	-7.915314
81.000	1.000	-7.906410
82.000	1.000	-7.912577
83.000	1.000	-7.891782
84.000	1.000	-7.891782
85.000	1.000	-7.912577
86.000	1.000	-7.902750
87.000	1.000	-7.902750
88.000	1.000	-7.891782
89.000	1.000	-7.913724
90.000	1.000	-7.905946
91.000	1.000	-7.905946
92.000	1.000	-7.905946
93.000	1.000	-7.904805
94.000	1.000	-7.912577
95.000	1.000	-7.913724
96.000	1.000	-7.913724
97.000	1.000	-7.891782
98.000	1.000	-7.902750
99.000	1.000	-7.902750
100.000	1.000	-7.902750
101.000	1.000	-7.891782
102.000	1.000	-7.891782
103.000	1.000	-7.891782
104.000	1.000	-7.902750
105.000	1.000	-7.902750
106.000	1.000	-7.891782
107.000	1.000	-7.884469
108.000	1.000	-7.884469
109.000	1.000	-7.902750
110.000	1.000	-7.428311
