TIME	INTERVALO	Nivel Tanque 2
0.000	0.000	-7.939314
0.000	1.000	-7.939314
1.000	1.000	-7.939314
2.000	1.000	-7.942515
3.000	1.000	-7.942515
4.000	1.000	-7.939314
5.000	1.000	-7.939314
6.000	1.000	-7.950511
7.000	1.000	-7.950511
8.000	1.000	-7.950511
9.000	1.000	-7.939314
10.000	1.000	-7.928576
11.000	1.000	-7.942515
12.000	1.000	-7.942515
13.000	1.000	-7.960797
14.000	1.000	-7.954396
15.000	1.000	-7.954396
16.000	1.000	-7.953942
17.000	1.000	-7.953942
18.000	1.000	-7.939314
19.000	1.000	-7.982050
20.000	1.000	-7.953030
21.000	1.000	-7.953030
22.000	1.000	-7.916914
23.000	1.000	-7.929488
24.000	1.000	-7.918514
25.000	1.000	-7.918514
26.000	1.000	-7.918514
27.000	1.000	-7.949370
28.000	1.000	-7.933372
29.000	1.000	-7.933372
30.000	1.000	-7.942515
31.000	1.000	-7.939314
32.000	1.000	-7.942515
33.000	1.000	-7.942515
34.000	1.000	-7.918973
35.000	1.000	-7.907317
36.000	1.000	-7.939314
37.000	1.000	-7.939314
38.000	1.000	-7.939314
39.000	1.000	-7.932689
40.000	1.000	-7.910294
41.000	1.000	-7.939314
42.000	1.000	-7.939314
43.000	1.000	-7.918514
44.000	1.000	-7.928112
45.000	1.000	-7.928112
46.000	1.000	-7.928112
47.000	1.000	-7.939314
48.000	1.000	-7.939314
49.000	1.000	-7.939314
50.000	1.000	-7.939314
51.000	1.000	-7.939085
52.000	1.000	-7.916914
53.000	1.000	-7.932689
54.000	1.000	-7.932689
55.000	1.000	-7.907317
56.000	1.000	-7.907317
57.000	1.000	-7.939314
58.000	1.000	-7.939314
59.000	1.000	-7.931771
60.000	1.000	-7.928576
61.000	1.000	-7.928576
62.000	1.000	-7.907317
63.000	1.000	-7.907317
64.000	1.000	-7.928112
65.000	1.000	-7.930171
66.000	1.000	-7.918514
67.000	1.000	-7.918514
68.000	1.000	-7.928112
69.000	1.000	-7.939314
70.000	1.000	-7.939314
71.000	1.000	-7.928112
72.000	1.000	-7.928112
73.000	1.000	-7.928112
74.000	1.000	-7.931771
75.000	1.000	-7.931771
76.000	1.000	-7.928112
77.000	1.000	-7.918514
78.000	1.000	-7.949370
79.000	1.000	-7.949370
80.000	1.000	-7.921721
81.000	1.000	-7.918514
82.000	1.000	-7.939314
83.000	1.000	-7.939314
84.000	1.000	-7.928112
85.000	1.000	-7.928112
86.000	1.000	-7.921721
87.000	1.000	-7.928112
88.000	1.000	-7.928112
89.000	1.000	-7.908917
90.000	1.000	-7.918514
91.000	1.000	-7.918514
92.000	1.000	-7.928112
93.000	1.000	-7.907317
94.000	1.000	-7.938632
95.000	1.000	-7.938632
96.000	1.000	-7.938632
97.000	1.000	-7.921721
98.000	1.000	-7.928112
99.000	1.000	-7.939314
100.000	1.000	-7.939314
101.000	1.000	-7.938632
102.000	1.000	-7.907317
103.000	1.000	-7.941833
104.000	1.000	-7.941833
105.000	1.000	-7.928112
106.000	1.000	-7.911659
107.000	1.000	-7.916914
108.000	1.000	-7.916914
109.000	1.000	-7.916914
110.000	1.000	-7.928112
111.000	1.000	-7.927428
112.000	1.000	-7.927428
113.000	1.000	-7.928112
114.000	1.000	-7.928112
115.000	1.000	-7.938632
