TIME	INTERVALO	Nivel Tanque 2
0.000	0.000	-7.921721
0.000	1.000	-7.921721
1.000	1.000	-7.921721
2.000	1.000	-7.921721
3.000	1.000	-7.942968
4.000	1.000	-7.942968
5.000	1.000	-7.921721
6.000	1.000	-7.912118
7.000	1.000	-7.936119
8.000	1.000	-7.936119
9.000	1.000	-7.910518
10.000	1.000	-7.921721
11.000	1.000	-7.942968
12.000	1.000	-7.942968
13.000	1.000	-7.942968
14.000	1.000	-7.932689
15.000	1.000	-7.932689
16.000	1.000	-7.932689
17.000	1.000	-7.932689
18.000	1.000	-7.942968
19.000	1.000	-7.931771
20.000	1.000	-7.942968
21.000	1.000	-7.942968
22.000	1.000	-7.942968
23.000	1.000	-7.942968
24.000	1.000	-7.942968
25.000	1.000	-7.942968
26.000	1.000	-7.943887
27.000	1.000	-7.932689
28.000	1.000	-7.921721
29.000	1.000	-7.921721
30.000	1.000	-7.921721
31.000	1.000	-7.931771
32.000	1.000	-7.932689
33.000	1.000	-7.932689
34.000	1.000	-7.942968
35.000	1.000	-7.922856
36.000	1.000	-7.922856
37.000	1.000	-7.932689
38.000	1.000	-7.932689
39.000	1.000	-7.920574
40.000	1.000	-7.935654
41.000	1.000	-7.935654
42.000	1.000	-7.920574
43.000	1.000	-7.931771
44.000	1.000	-7.931771
45.000	1.000	-7.931771
46.000	1.000	-7.942968
47.000	1.000	-7.927658
48.000	1.000	-7.927658
49.000	1.000	-7.921721
50.000	1.000	-7.921721
51.000	1.000	-7.942968
52.000	1.000	-7.857043
53.000	1.000	-7.888123
54.000	1.000	-7.888123
55.000	1.000	-7.908235
56.000	1.000	-7.834189
57.000	1.000	-7.942968
58.000	1.000	-7.942968
59.000	1.000	-7.971076
60.000	1.000	-7.971076
61.000	1.000	-7.952800
62.000	1.000	-7.952800
63.000	1.000	-7.963762
64.000	1.000	-7.963762
65.000	1.000	-7.937714
66.000	1.000	-7.937714
67.000	1.000	-7.952800
68.000	1.000	-7.952800
69.000	1.000	-7.952800
70.000	1.000	-7.952800
71.000	1.000	-7.952800
72.000	1.000	-7.963762
73.000	1.000	-7.942057
74.000	1.000	-7.942057
75.000	1.000	-7.963762
76.000	1.000	-7.963762
77.000	1.000	-7.963762
78.000	1.000	-7.963762
79.000	1.000	-7.942968
80.000	1.000	-7.952800
81.000	1.000	-7.963762
82.000	1.000	-7.963762
83.000	1.000	-7.963762
84.000	1.000	-7.942057
85.000	1.000	-7.952800
86.000	1.000	-7.942057
87.000	1.000	-7.942057
88.000	1.000	-7.963762
89.000	1.000	-7.952800
90.000	1.000	-7.952800
91.000	1.000	-7.974054
92.000	1.000	-7.963762
93.000	1.000	-7.952800
94.000	1.000	-7.952800
95.000	1.000	-7.952800
96.000	1.000	-7.963762
97.000	1.000	-7.963762
98.000	1.000	-7.975425
99.000	1.000	-7.975425
100.000	1.000	-7.951653
101.000	1.000	-7.962398
102.000	1.000	-7.952800
103.000	1.000	-7.952800
104.000	1.000	-7.952800
105.000	1.000	-7.952800
106.000	1.000	-7.952800
107.000	1.000	-7.930635
108.000	1.000	-7.930635
109.000	1.000	-7.966057
110.000	1.000	-7.942057
111.000	1.000	-7.942057
112.000	1.000	-7.930635
113.000	1.000	-7.947999
114.000	1.000	-7.952800
115.000	1.000	-7.952800
116.000	1.000	-7.938632
117.000	1.000	-7.991418
118.000	1.000	-7.991418
119.000	1.000	-8.063180
120.000	1.000	-8.063180
121.000	1.000	-7.987764
122.000	1.000	-7.962174
123.000	1.000	-7.951653
124.000	1.000	-7.951653
125.000	1.000	-7.942057
126.000	1.000	-7.952800
127.000	1.000	-7.951653
128.000	1.000	-7.951653
129.000	1.000	-7.962398
130.000	1.000	-7.962398
131.000	1.000	-7.942057
132.000	1.000	-7.942057
133.000	1.000	-7.951653
134.000	1.000	-7.951653
135.000	1.000	-7.962398
136.000	1.000	-7.962398
137.000	1.000	-7.947999
138.000	1.000	-7.956685
139.000	1.000	-7.931771
140.000	1.000	-7.931771
141.000	1.000	-7.931771
142.000	1.000	-7.930635
143.000	1.000	-7.952800
