TIME	INTERVALO	Nivel Tanque 2
0.000	0.000	-7.909147
0.000	1.000	-7.912118
1.000	1.000	-7.912118
2.000	1.000	-7.920115
3.000	1.000	-7.920115
4.000	1.000	-7.909147
5.000	1.000	-7.909147
6.000	1.000	-7.909147
7.000	1.000	-7.909147
8.000	1.000	-7.930400
9.000	1.000	-7.910065
10.000	1.000	-7.910065
11.000	1.000	-7.920574
12.000	1.000	-7.919432
13.000	1.000	-7.919432
14.000	1.000	-7.908000
15.000	1.000	-7.908000
16.000	1.000	-7.908000
17.000	1.000	-7.908000
18.000	1.000	-7.909147
19.000	1.000	-7.909147
20.000	1.000	-7.941833
21.000	1.000	-7.908000
22.000	1.000	-7.919432
23.000	1.000	-7.919432
24.000	1.000	-7.919432
25.000	1.000	-7.921945
26.000	1.000	-7.929488
27.000	1.000	-7.929488
28.000	1.000	-7.897720
29.000	1.000	-7.920115
30.000	1.000	-7.906864
31.000	1.000	-7.906864
32.000	1.000	-7.917832
33.000	1.000	-7.919432
34.000	1.000	-7.908000
35.000	1.000	-7.908000
36.000	1.000	-7.908000
37.000	1.000	-7.909829
38.000	1.000	-7.899096
39.000	1.000	-7.929488
40.000	1.000	-7.929488
41.000	1.000	-7.886522
42.000	1.000	-7.886522
43.000	1.000	-7.886522
44.000	1.000	-7.899096
45.000	1.000	-7.886522
46.000	1.000	-7.909147
47.000	1.000	-7.909147
48.000	1.000	-7.909147
49.000	1.000	-7.896802
50.000	1.000	-7.896802
51.000	1.000	-7.906864
52.000	1.000	-7.906864
53.000	1.000	-7.886522
54.000	1.000	-7.908000
55.000	1.000	-7.908000
56.000	1.000	-7.896802
57.000	1.000	-7.896802
58.000	1.000	-7.907094
59.000	1.000	-7.907094
60.000	1.000	-7.907094
61.000	1.000	-7.909147
62.000	1.000	-7.906864
63.000	1.000	-7.896802
64.000	1.000	-7.896802
65.000	1.000	-7.896802
66.000	1.000	-7.899779
67.000	1.000	-7.907317
68.000	1.000	-7.907317
69.000	1.000	-7.908000
70.000	1.000	-7.906864
71.000	1.000	-7.906864
72.000	1.000	-7.896802
73.000	1.000	-7.896802
74.000	1.000	-7.908000
75.000	1.000	-7.897720
76.000	1.000	-7.897720
77.000	1.000	-7.900920
78.000	1.000	-7.896802
79.000	1.000	-7.896802
80.000	1.000	-7.896802
81.000	1.000	-7.896802
82.000	1.000	-7.906864
83.000	1.000	-7.906864
84.000	1.000	-7.895666
85.000	1.000	-7.895666
86.000	1.000	-7.895666
87.000	1.000	-7.885840
88.000	1.000	-7.895666
89.000	1.000	-7.895666
90.000	1.000	-7.906864
91.000	1.000	-7.896802
92.000	1.000	-7.896802
93.000	1.000	-7.906864
94.000	1.000	-7.906864
95.000	1.000	-7.885840
96.000	1.000	-7.906864
97.000	1.000	-7.906864
98.000	1.000	-7.910518
99.000	1.000	-7.885840
100.000	1.000	-7.888352
101.000	1.000	-7.888352
102.000	1.000	-7.906864
103.000	1.000	-7.884692
104.000	1.000	-7.906864
105.000	1.000	-7.906864
106.000	1.000	-7.906864
107.000	1.000	-7.906864
108.000	1.000	-7.885840
109.000	1.000	-7.885840
110.000	1.000	-7.896802
111.000	1.000	-7.885840
112.000	1.000	-7.885840
113.000	1.000	-7.885840
114.000	1.000	-7.885840
115.000	1.000	-7.886522
116.000	1.000	-7.875095
117.000	1.000	-7.875095
118.000	1.000	-7.875095
119.000	1.000	-7.885840
120.000	1.000	-7.896802
121.000	1.000	-7.885840
122.000	1.000	-7.885840
123.000	1.000	-7.909147
124.000	1.000	-7.863445
125.000	1.000	-6.080403
126.000	1.000	-6.080403
127.000	1.000	-5.374461
128.000	1.000	-3.232167
129.000	1.000	-3.232167
130.000	1.000	-0.899500
131.000	1.000	-0.899500
132.000	1.000	2.010672
133.000	1.000	4.460345
134.000	1.000	4.460345
135.000	1.000	7.051018
136.000	1.000	9.761455
137.000	1.000	11.251963
138.000	1.000	11.251963
139.000	1.000	13.687472
140.000	1.000	15.336122
141.000	1.000	15.336122
142.000	1.000	17.240509
143.000	1.000	17.240509
144.000	1.000	18.477348
145.000	1.000	19.811535
146.000	1.000	19.811535
147.000	1.000	20.570047
148.000	1.000	21.539267
149.000	1.000	22.526991
150.000	1.000	22.526991
151.000	1.000	23.479071
152.000	1.000	24.522797
153.000	1.000	24.522797
154.000	1.000	24.930281
155.000	1.000	24.930281
156.000	1.000	25.580002
157.000	1.000	26.097181
158.000	1.000	26.554022
159.000	1.000	26.554022
160.000	1.000	27.194834
161.000	1.000	27.549978
162.000	1.000	27.642996
163.000	1.000	27.642996
164.000	1.000	27.642996
165.000	1.000	27.950603
166.000	1.000	28.324259
167.000	1.000	28.324259
168.000	1.000	28.319227
169.000	1.000	28.505949
170.000	1.000	28.849667
171.000	1.000	28.849667
172.000	1.000	28.893545
173.000	1.000	28.815838
174.000	1.000	29.075686
175.000	1.000	29.075686
176.000	1.000	29.075686
177.000	1.000	29.096481
178.000	1.000	28.988153
179.000	1.000	29.179897
180.000	1.000	29.179897
181.000	1.000	29.115681
182.000	1.000	29.226742
183.000	1.000	29.226742
184.000	1.000	29.181952
185.000	1.000	29.342842
186.000	1.000	29.459169
187.000	1.000	29.459169
188.000	1.000	29.459169
189.000	1.000	29.300106
190.000	1.000	29.353355
191.000	1.000	29.290047
192.000	1.000	29.290047
193.000	1.000	29.209148
194.000	1.000	29.277021
195.000	1.000	29.242287
196.000	1.000	29.242287
197.000	1.000	29.404772
198.000	1.000	29.364323
199.000	1.000	29.364323
200.000	1.000	29.393574
201.000	1.000	29.393574
202.000	1.000	29.226742
203.000	1.000	29.291422
204.000	1.000	29.291422
205.000	1.000	29.481792
206.000	1.000	29.623711
207.000	1.000	29.484758
208.000	1.000	29.484758
209.000	1.000	29.611143
210.000	1.000	29.522928
211.000	1.000	29.522928
212.000	1.000	29.426489
213.000	1.000	29.426489
214.000	1.000	29.451168
215.000	1.000	29.391748
216.000	1.000	29.570461
217.000	1.000	29.570461
218.000	1.000	29.567495
219.000	1.000	29.461912
220.000	1.000	29.724264
221.000	1.000	29.724264
222.000	1.000	29.724264
223.000	1.000	29.490705
224.000	1.000	29.598576
225.000	1.000	29.598576
226.000	1.000	29.684046
227.000	1.000	29.632854
228.000	1.000	29.555611
229.000	1.000	29.555611
230.000	1.000	29.663935
231.000	1.000	29.662788
232.000	1.000	29.537327
233.000	1.000	29.537327
234.000	1.000	29.537327
235.000	1.000	29.536638
236.000	1.000	29.545555
237.000	1.000	29.438137
238.000	1.000	29.438137
239.000	1.000	29.468990
240.000	1.000	29.501448
241.000	1.000	29.438597
242.000	1.000	29.438597
243.000	1.000	29.395176
244.000	1.000	29.456198
245.000	1.000	29.456198
246.000	1.000	29.456198
247.000	1.000	29.545555
248.000	1.000	29.685188
249.000	1.000	29.696157
250.000	1.000	29.696157
251.000	1.000	29.725864
252.000	1.000	29.750780
253.000	1.000	29.717186
254.000	1.000	29.717186
255.000	1.000	29.675133
256.000	1.000	29.793512
257.000	1.000	29.593546
258.000	1.000	29.593546
259.000	1.000	29.593546
260.000	1.000	29.675133
261.000	1.000	29.650227
262.000	1.000	29.650227
263.000	1.000	29.675133
264.000	1.000	29.581203
265.000	1.000	29.578232
266.000	1.000	29.578232
267.000	1.000	29.642450
268.000	1.000	29.681986
269.000	1.000	29.681986
270.000	1.000	29.373920
271.000	1.000	29.373920
272.000	1.000	29.707130
273.000	1.000	29.673761
274.000	1.000	29.676050
275.000	1.000	29.676050
276.000	1.000	29.674221
277.000	1.000	29.729294
278.000	1.000	29.910067
279.000	1.000	29.910067
280.000	1.000	29.772949
281.000	1.000	29.772949
282.000	1.000	29.749638
283.000	1.000	29.749638
284.000	1.000	29.737980
285.000	1.000	29.750780
286.000	1.000	29.879215
287.000	1.000	29.879215
288.000	1.000	29.738438
289.000	1.000	29.651590
290.000	1.000	29.676050
291.000	1.000	29.676050
292.000	1.000	29.622341
293.000	1.000	29.622341
294.000	1.000	29.729065
295.000	1.000	29.603142
296.000	1.000	29.603142
297.000	1.000	29.635366
298.000	1.000	29.717640
299.000	1.000	29.685417
300.000	1.000	29.685417
301.000	1.000	29.664618
302.000	1.000	29.480421
303.000	1.000	29.480421
304.000	1.000	29.480421
305.000	1.000	29.565889
306.000	1.000	29.409578
307.000	1.000	29.641079
308.000	1.000	29.641079
309.000	1.000	29.549438
310.000	1.000	29.310619
311.000	1.000	29.485676
312.000	1.000	29.485676
313.000	1.000	29.513556
314.000	1.000	29.587606
315.000	1.000	29.387859
316.000	1.000	29.387859
317.000	1.000	29.387859
318.000	1.000	29.608631
319.000	1.000	29.666218
320.000	1.000	29.725864
321.000	1.000	29.725864
322.000	1.000	29.652967
323.000	1.000	29.732265
324.000	1.000	29.732265
325.000	1.000	29.559494
326.000	1.000	29.784145
327.000	1.000	29.841732
328.000	1.000	29.841732
329.000	1.000	29.841732
330.000	1.000	29.858187
331.000	1.000	29.890182
332.000	1.000	29.988453
333.000	1.000	29.988453
334.000	1.000	29.996685
335.000	1.000	29.896814
336.000	1.000	30.073925
337.000	1.000	30.073925
338.000	1.000	29.891331
339.000	1.000	29.891331
340.000	1.000	29.979309
341.000	1.000	29.982515
342.000	1.000	29.982515
343.000	1.000	29.888582
344.000	1.000	29.987082
345.000	1.000	29.987082
346.000	1.000	29.849731
347.000	1.000	29.876474
348.000	1.000	29.834419
349.000	1.000	29.834419
350.000	1.000	29.826195
351.000	1.000	29.826195
352.000	1.000	29.837168
353.000	1.000	29.838991
354.000	1.000	29.838991
355.000	1.000	29.944805
356.000	1.000	29.890411
357.000	1.000	29.890411
358.000	1.000	29.880356
359.000	1.000	29.859793
360.000	1.000	29.814308
361.000	1.000	29.814308
362.000	1.000	29.987312
363.000	1.000	29.987312
364.000	1.000	29.889271
365.000	1.000	29.846304
366.000	1.000	29.846304
367.000	1.000	29.836479
368.000	1.000	29.717640
369.000	1.000	29.890182
370.000	1.000	29.890182
371.000	1.000	29.786888
372.000	1.000	29.795113
373.000	1.000	29.795113
374.000	1.000	29.795113
375.000	1.000	29.741180
376.000	1.000	29.795113
377.000	1.000	29.889271
378.000	1.000	29.889271
379.000	1.000	29.826195
380.000	1.000	29.708042
381.000	1.000	29.824141
382.000	1.000	29.824141
383.000	1.000	29.921263
384.000	1.000	29.870071
385.000	1.000	29.920805
386.000	1.000	29.920805
387.000	1.000	29.920805
388.000	1.000	29.953945
389.000	1.000	29.720840
390.000	1.000	29.984570
391.000	1.000	29.984570
392.000	1.000	29.910067
393.000	1.000	30.062046
394.000	1.000	30.062046
395.000	1.000	29.977257
396.000	1.000	30.061357
397.000	1.000	30.061357
398.000	1.000	29.997597
399.000	1.000	29.997597
400.000	1.000	30.075296
401.000	1.000	30.105236
402.000	1.000	30.082380
403.000	1.000	30.082380
404.000	1.000	30.169001
405.000	1.000	30.192535
406.000	1.000	30.149343
407.000	1.000	30.149343
408.000	1.000	30.263382
409.000	1.000	30.263382
410.000	1.000	30.243958
411.000	1.000	30.243958
412.000	1.000	30.026848
413.000	1.000	30.231619
414.000	1.000	30.127407
415.000	1.000	30.127407
416.000	1.000	30.198250
417.000	1.000	30.245098
418.000	1.000	30.313890
419.000	1.000	30.313890
420.000	1.000	30.320974
421.000	1.000	30.320974
422.000	1.000	30.192535
423.000	1.000	30.240074
424.000	1.000	30.240074
425.000	1.000	30.065247
426.000	1.000	30.265442
427.000	1.000	30.296520
428.000	1.000	30.296520
429.000	1.000	30.286234
430.000	1.000	30.211279
431.000	1.000	30.211279
432.000	1.000	30.211279
433.000	1.000	30.236185
434.000	1.000	30.168312
435.000	1.000	30.138374
436.000	1.000	30.138374
437.000	1.000	30.018850
438.000	1.000	30.017939
439.000	1.000	30.230930
440.000	1.000	30.230930
441.000	1.000	30.154375
442.000	1.000	30.074385
443.000	1.000	30.181110
444.000	1.000	30.181110
445.000	1.000	30.181110
446.000	1.000	30.032331
447.000	1.000	30.138374
448.000	1.000	30.138374
449.000	1.000	29.923323
450.000	1.000	30.192995
451.000	1.000	30.010849
452.000	1.000	30.010849
453.000	1.000	30.053816
454.000	1.000	29.975657
455.000	1.000	30.032331
456.000	1.000	30.032331
457.000	1.000	30.032331
458.000	1.000	29.978168
459.000	1.000	30.107979
460.000	1.000	30.017481
461.000	1.000	30.017481
462.000	1.000	29.944805
463.000	1.000	30.020222
464.000	1.000	30.020222
465.000	1.000	29.891331
466.000	1.000	30.062958
467.000	1.000	30.062958
468.000	1.000	29.902754
469.000	1.000	29.902754
470.000	1.000	29.978168
471.000	1.000	29.956692
472.000	1.000	29.990513
473.000	1.000	29.990513
474.000	1.000	29.909607
475.000	1.000	30.006283
476.000	1.000	30.115063
477.000	1.000	30.115063
478.000	1.000	30.095636
479.000	1.000	30.095636
480.000	1.000	29.933607
481.000	1.000	29.933607
482.000	1.000	30.118952
483.000	1.000	30.157576
484.000	1.000	30.073925
485.000	1.000	30.073925
486.000	1.000	29.970402
487.000	1.000	30.045588
488.000	1.000	30.215622
489.000	1.000	30.215622
490.000	1.000	30.201683
491.000	1.000	30.201683
492.000	1.000	30.253326
493.000	1.000	30.105696
494.000	1.000	30.105696
495.000	1.000	30.147972
496.000	1.000	30.268866
497.000	1.000	30.267725
498.000	1.000	30.267725
499.000	1.000	30.288748
500.000	1.000	30.177910
501.000	1.000	30.177910
502.000	1.000	30.177910
503.000	1.000	30.311602
504.000	1.000	30.243958
505.000	1.000	30.352057
506.000	1.000	30.352057
507.000	1.000	30.202135
508.000	1.000	30.181110
509.000	1.000	30.264982
510.000	1.000	30.264982
511.000	1.000	30.407589
512.000	1.000	30.276638
513.000	1.000	30.298805
514.000	1.000	30.298805
515.000	1.000	30.298805
516.000	1.000	30.436615
517.000	1.000	30.395937
518.000	1.000	30.295378
519.000	1.000	30.295378
520.000	1.000	30.254927
521.000	1.000	30.333313
522.000	1.000	30.333313
523.000	1.000	30.352968
524.000	1.000	30.246469
525.000	1.000	30.452385
526.000	1.000	30.452385
527.000	1.000	30.452385
528.000	1.000	30.318457
529.000	1.000	30.363024
530.000	1.000	30.352968
