TIME	INTERVALO	Temp Tanque 2
0.000	0.000	25.558271
0.000	1.000	25.565088
1.000	1.000	25.565088
2.000	1.000	25.565088
3.000	1.000	25.564590
4.000	1.000	25.566492
5.000	1.000	25.564629
6.000	1.000	25.564629
7.000	1.000	25.560484
8.000	1.000	25.565899
9.000	1.000	25.571167
10.000	1.000	25.571167
11.000	1.000	25.579071
12.000	1.000	25.581741
13.000	1.000	25.581741
14.000	1.000	25.581741
15.000	1.000	25.585445
16.000	1.000	25.586111
17.000	1.000	25.582573
18.000	1.000	25.582573
19.000	1.000	25.574171
20.000	1.000	25.563835
21.000	1.000	25.565254
22.000	1.000	25.565254
23.000	1.000	25.564722
24.000	1.000	25.570303
25.000	1.000	25.562822
26.000	1.000	25.562822
27.000	1.000	25.562822
28.000	1.000	25.560076
29.000	1.000	25.554476
30.000	1.000	25.554476
31.000	1.000	25.556465
32.000	1.000	25.546616
33.000	1.000	25.548182
34.000	1.000	25.548182
35.000	1.000	25.544735
36.000	1.000	25.547739
37.000	1.000	25.547739
38.000	1.000	25.553173
39.000	1.000	25.553173
40.000	1.000	25.546986
41.000	1.000	25.538879
42.000	1.000	25.538492
43.000	1.000	25.538492
44.000	1.000	25.529068
45.000	1.000	25.530323
46.000	1.000	25.530323
47.000	1.000	25.531908
48.000	1.000	25.528372
49.000	1.000	25.528372
50.000	1.000	25.520191
51.000	1.000	25.520191
52.000	1.000	25.514866
53.000	1.000	25.518585
54.000	1.000	25.519102
55.000	1.000	25.519102
56.000	1.000	25.560850
57.000	1.000	25.564665
58.000	1.000	25.564629
59.000	1.000	25.564629
60.000	1.000	25.563911
61.000	1.000	25.563911
62.000	1.000	25.568167
63.000	1.000	25.568167
64.000	1.000	25.564629
65.000	1.000	25.566748
66.000	1.000	25.561789
67.000	1.000	25.561789
68.000	1.000	25.559818
69.000	1.000	25.551792
70.000	1.000	25.553286
71.000	1.000	25.553286
72.000	1.000	25.553286
73.000	1.000	25.553543
74.000	1.000	25.552898
75.000	1.000	25.554171
76.000	1.000	25.554171
77.000	1.000	25.552071
78.000	1.000	25.550043
79.000	1.000	25.551146
80.000	1.000	25.551146
81.000	1.000	25.550669
82.000	1.000	25.559013
83.000	1.000	25.554335
84.000	1.000	25.554335
85.000	1.000	25.554335
86.000	1.000	25.549120
87.000	1.000	25.551853
88.000	1.000	25.551853
89.000	1.000	25.552126
90.000	1.000	25.549788
91.000	1.000	25.551775
92.000	1.000	25.551775
93.000	1.000	25.556547
94.000	1.000	25.549471
95.000	1.000	25.549471
96.000	1.000	25.553173
97.000	1.000	25.553173
98.000	1.000	25.553856
99.000	1.000	25.547832
100.000	1.000	25.547739
101.000	1.000	25.547739
102.000	1.000	25.542215
103.000	1.000	25.543447
104.000	1.000	25.567554
105.000	1.000	25.567554
106.000	1.000	25.563007
107.000	1.000	25.563007
108.000	1.000	25.561731
109.000	1.000	25.561731
110.000	1.000	25.557262
111.000	1.000	25.558767
112.000	1.000	25.558735
113.000	1.000	25.558735
114.000	1.000	25.553427
115.000	1.000	25.555765
116.000	1.000	25.517372
117.000	1.000	25.517372
118.000	1.000	25.514439
119.000	1.000	25.514439
120.000	1.000	25.516302
121.000	1.000	25.516302
122.000	1.000	25.518993
123.000	1.000	25.513447
124.000	1.000	25.521624
125.000	1.000	25.521624
126.000	1.000	25.533587
127.000	1.000	25.532459
128.000	1.000	25.555273
129.000	1.000	25.555273
130.000	1.000	25.555273
131.000	1.000	25.588223
132.000	1.000	25.594675
133.000	1.000	25.610334
134.000	1.000	25.610334
135.000	1.000	25.634909
136.000	1.000	25.652855
137.000	1.000	25.652855
138.000	1.000	25.695959
139.000	1.000	25.736300
140.000	1.000	25.786900
141.000	1.000	25.786900
142.000	1.000	25.786900
143.000	1.000	25.808092
144.000	1.000	25.837416
145.000	1.000	25.880348
146.000	1.000	25.880348
147.000	1.000	25.923172
148.000	1.000	25.956743
149.000	1.000	25.990227
150.000	1.000	25.990227
151.000	1.000	26.017370
152.000	1.000	26.045803
153.000	1.000	26.045803
154.000	1.000	26.045803
155.000	1.000	26.092094
156.000	1.000	26.125589
157.000	1.000	26.151054
158.000	1.000	26.151054
159.000	1.000	26.169527
160.000	1.000	26.182875
161.000	1.000	26.201397
162.000	1.000	26.201397
163.000	1.000	26.206606
164.000	1.000	26.214855
165.000	1.000	26.214855
166.000	1.000	26.224243
167.000	1.000	26.224243
168.000	1.000	26.240376
169.000	1.000	26.252804
170.000	1.000	26.255581
171.000	1.000	26.255581
172.000	1.000	26.268764
173.000	1.000	26.283382
174.000	1.000	26.283382
175.000	1.000	26.290195
176.000	1.000	26.299807
177.000	1.000	26.299807
178.000	1.000	26.306837
179.000	1.000	26.306837
180.000	1.000	26.316595
181.000	1.000	26.317961
182.000	1.000	26.323223
183.000	1.000	26.323223
184.000	1.000	26.324642
185.000	1.000	26.328930
186.000	1.000	26.331694
187.000	1.000	26.331694
188.000	1.000	26.339886
189.000	1.000	26.339886
190.000	1.000	26.347893
191.000	1.000	26.347893
192.000	1.000	26.358261
193.000	1.000	26.364794
194.000	1.000	26.356878
195.000	1.000	26.356878
196.000	1.000	26.357246
197.000	1.000	26.366064
198.000	1.000	26.364998
199.000	1.000	26.364998
200.000	1.000	26.364998
