TIME	INTERVALO	Abertura Valvula
0.000	0.000	100.000000
0.000	1.000	100.000000
1.000	1.000	100.000000
2.000	1.000	100.000000
3.000	1.000	100.000000
4.000	1.000	100.000000
5.000	1.000	100.000000
6.000	1.000	100.000000
7.000	1.000	100.000000
8.000	1.000	100.000000
9.000	1.000	100.000000
10.000	1.000	100.000000
11.000	1.000	100.000000
12.000	1.000	100.000000
13.000	1.000	100.000000
14.000	1.000	100.000000
15.000	1.000	100.000000
16.000	1.000	100.000000
17.000	1.000	100.000000
18.000	1.000	100.000000
19.000	1.000	100.000000
20.000	1.000	100.000000
21.000	1.000	100.000000
22.000	1.000	100.000000
23.000	1.000	100.000000
24.000	1.000	100.000000
25.000	1.000	100.000000
26.000	1.000	100.000000
27.000	1.000	100.000000
28.000	1.000	100.000000
29.000	1.000	100.000000
30.000	1.000	100.000000
31.000	1.000	100.000000
32.000	1.000	100.000000
33.000	1.000	100.000000
34.000	1.000	100.000000
35.000	1.000	100.000000
36.000	1.000	100.000000
37.000	1.000	100.000000
38.000	1.000	100.000000
39.000	1.000	100.000000
40.000	1.000	100.000000
41.000	1.000	100.000000
42.000	1.000	100.000000
43.000	1.000	100.000000
44.000	1.000	100.000000
45.000	1.000	100.000000
46.000	1.000	100.000000
47.000	1.000	100.000000
48.000	1.000	100.000000
49.000	1.000	100.000000
50.000	1.000	100.000000
51.000	1.000	100.000000
52.000	1.000	100.000000
53.000	1.000	100.000000
54.000	1.000	100.000000
55.000	1.000	100.000000
56.000	1.000	100.000000
57.000	1.000	100.000000
58.000	1.000	100.000000
59.000	1.000	100.000000
60.000	1.000	100.000000
61.000	1.000	100.000000
62.000	1.000	100.000000
63.000	1.000	100.000000
64.000	1.000	100.000000
65.000	1.000	100.000000
66.000	1.000	100.000000
67.000	1.000	100.000000
68.000	1.000	100.000000
69.000	1.000	100.000000
70.000	1.000	100.000000
71.000	1.000	100.000000
72.000	1.000	100.000000
73.000	1.000	100.000000
74.000	1.000	100.000000
75.000	1.000	100.000000
76.000	1.000	100.000000
77.000	1.000	100.000000
78.000	1.000	100.000000
79.000	1.000	100.000000
80.000	1.000	100.000000
81.000	1.000	100.000000
82.000	1.000	100.000000
83.000	1.000	100.000000
84.000	1.000	100.000000
85.000	1.000	100.000000
86.000	1.000	100.000000
87.000	1.000	100.000000
88.000	1.000	100.000000
89.000	1.000	100.000000
90.000	1.000	100.000000
91.000	1.000	100.000000
92.000	1.000	100.000000
93.000	1.000	100.000000
94.000	1.000	100.000000
95.000	1.000	100.000000
96.000	1.000	100.000000
97.000	1.000	100.000000
98.000	1.000	100.000000
99.000	1.000	100.000000
100.000	1.000	100.000000
101.000	1.000	100.000000
102.000	1.000	100.000000
103.000	1.000	100.000000
104.000	1.000	100.000000
105.000	1.000	100.000000
106.000	1.000	100.000000
107.000	1.000	100.000000
108.000	1.000	100.000000
109.000	1.000	100.000000
110.000	1.000	100.000000
111.000	1.000	100.000000
112.000	1.000	100.000000
113.000	1.000	100.000000
114.000	1.000	100.000000
115.000	1.000	100.000000
116.000	1.000	100.000000
117.000	1.000	100.000000
118.000	1.000	100.000000
119.000	1.000	100.000000
120.000	1.000	100.000000
121.000	1.000	100.000000
122.000	1.000	100.000000
123.000	1.000	100.000000
124.000	1.000	100.000000
125.000	1.000	100.000000
126.000	1.000	100.000000
127.000	1.000	99.474274
128.000	1.000	96.767273
129.000	1.000	96.767273
130.000	1.000	93.671669
131.000	1.000	93.671669
132.000	1.000	86.448929
133.000	1.000	80.603447
134.000	1.000	80.603447
135.000	1.000	80.603447
136.000	1.000	69.946495
137.000	1.000	69.946495
138.000	1.000	69.946495
139.000	1.000	63.790966
140.000	1.000	55.756126
141.000	1.000	55.756126
142.000	1.000	55.756126
143.000	1.000	55.756126
144.000	1.000	49.849163
145.000	1.000	47.537743
146.000	1.000	47.537743
147.000	1.000	42.884411
148.000	1.000	39.238705
149.000	1.000	39.238705
150.000	1.000	39.238705
151.000	1.000	39.238705
152.000	1.000	39.238705
153.000	1.000	39.238705
154.000	1.000	31.492210
155.000	1.000	31.492210
156.000	1.000	30.599712
157.000	1.000	28.163506
158.000	1.000	26.662004
159.000	1.000	26.662004
160.000	1.000	24.901617
161.000	1.000	23.759197
162.000	1.000	23.759197
163.000	1.000	23.759197
164.000	1.000	23.759197
165.000	1.000	23.024536
166.000	1.000	22.323059
167.000	1.000	22.323059
168.000	1.000	21.538437
169.000	1.000	21.489452
170.000	1.000	21.132648
171.000	1.000	21.132648
172.000	1.000	20.186817
173.000	1.000	20.186817
174.000	1.000	20.046722
175.000	1.000	20.046722
